age,sex,height_percentile,sys_90,dia_90,sys_95,dia_95,sys_99,dia_99
1,M,5,94,49,98,54,105,61
1,M,10,95,50,99,54,106,62
1,M,25,97,51,101,55,108,63
1,M,50,99,52,103,56,110,64
1,M,75,100,53,104,57,112,65
1,M,90,102,53,106,58,113,66
1,M,95,103,54,106,58,114,66
1,F,5,97,52,100,56,108,64
1,F,10,97,53,101,57,108,64
1,F,25,98,53,102,57,109,65
1,F,50,100,54,104,58,111,65
1,F,75,101,55,105,59,112,66
1,F,90,102,55,106,59,113,67
1,F,95,103,56,107,60,114,67
2,M,5,97,54,101,59,109,66
2,M,10,99,55,102,59,110,67
2,M,25,100,56,104,60,111,68
2,M,50,102,57,106,61,113,69
2,M,75,104,58,108,62,115,70
2,M,90,105,58,109,63,117,71
2,M,95,106,59,110,63,117,71
2,F,5,98,57,102,61,109,69
2,F,10,99,58,103,62,110,69
2,F,25,100,58,104,62,111,70
2,F,50,101,59,105,63,112,70
2,F,75,103,60,107,64,114,71
2,F,90,104,61,108,65,115,72
2,F,95,105,61,109,65,116,72
3,M,5,100,59,104,63,111,71
3,M,10,101,59,105,63,112,71
3,M,25,103,60,107,64,114,72
3,M,50,105,61,109,65,116,73
3,M,75,107,62,110,66,118,74
3,M,90,108,63,112,67,119,75
3,M,95,109,63,113,67,120,75
3,F,5,100,61,104,65,111,73
3,F,10,100,62,104,66,111,73
3,F,25,102,62,105,66,113,74
3,F,50,103,63,107,67,114,74
3,F,75,104,64,108,68,115,75
3,F,90,106,64,109,68,116,76
3,F,95,106,65,110,69,117,76
4,M,5,102,62,106,66,113,74
4,M,10,103,63,107,67,114,75
4,M,25,105,64,109,68,116,76
4,M,50,107,65,111,69,118,77
4,M,75,109,66,112,70,120,78
4,M,90,110,66,114,71,121,78
4,M,95,111,67,115,71,122,79
4,F,5,101,64,105,68,112,76
4,F,10,102,64,106,68,113,76
4,F,25,103,65,107,69,114,76
4,F,50,104,66,108,70,115,77
4,F,75,106,67,110,71,117,78
4,F,90,107,67,111,71,118,79
4,F,95,108,68,112,72,119,79
5,M,5,104,65,108,69,115,77
5,M,10,105,66,109,70,116,78
5,M,25,106,67,110,71,118,79
5,M,50,108,68,112,72,120,80
5,M,75,110,69,114,73,121,81
5,M,90,111,69,115,74,123,81
5,M,95,112,70,116,74,123,82
5,F,5,103,66,107,70,114,78
5,F,10,103,67,107,71,114,78
5,F,25,105,67,108,71,116,79
5,F,50,106,68,110,72,117,79
5,F,75,107,69,111,73,118,80
5,F,90,109,69,112,73,120,81
5,F,95,109,70,113,74,120,81
6,M,5,105,68,109,72,116,80
6,M,10,106,68,110,72,117,80
6,M,25,108,69,112,73,119,81
6,M,50,110,70,114,74,121,82
6,M,75,111,71,115,75,123,83
6,M,90,113,72,117,76,124,84
6,M,95,113,72,117,76,125,84
6,F,5,104,68,108,72,115,80
6,F,10,105,68,109,72,116,80
6,F,25,106,69,110,73,117,80
6,F,50,108,70,111,74,119,81
6,F,75,109,70,113,74,120,82
6,F,90,110,71,114,75,121,83
6,F,95,111,72,115,76,122,83
7,M,5,106,70,110,74,117,82
7,M,10,107,70,111,74,118,82
7,M,25,109,71,113,75,120,83
7,M,50,111,72,115,76,122,84
7,M,75,113,73,117,77,124,85
7,M,90,114,74,118,78,125,86
7,M,95,115,74,119,78,126,86
7,F,5,106,69,110,73,117,81
7,F,10,107,70,111,74,118,81
7,F,25,108,70,112,74,119,82
7,F,50,109,71,113,75,120,82
7,F,75,111,72,115,76,122,83
7,F,90,112,72,116,76,123,84
7,F,95,113,73,116,77,124,84
8,M,5,107,71,111,75,119,83
8,M,10,109,72,112,76,120,84
8,M,25,110,72,114,77,122,85
8,M,50,112,73,116,78,123,86
8,M,75,114,74,118,79,125,87
8,M,90,115,75,119,79,127,87
8,M,95,116,76,120,80,127,88
8,F,5,108,71,112,75,119,82
8,F,10,109,71,112,75,120,82
8,F,25,110,71,114,75,121,83
8,F,50,111,72,115,76,122,83
8,F,75,113,73,116,77,123,84
8,F,90,114,74,118,78,125,85
8,F,95,114,74,118,78,125,86
9,M,5,109,72,113,76,120,84
9,M,10,110,73,114,77,121,85
9,M,25,112,74,116,78,123,86
9,M,50,114,75,118,79,125,87
9,M,75,115,76,119,80,127,88
9,M,90,117,76,121,81,128,88
9,M,95,118,77,121,81,129,89
9,F,5,110,72,114,76,121,83
9,F,10,110,72,114,76,121,83
9,F,25,112,72,115,76,123,84
9,F,50,113,73,117,77,124,84
9,F,75,114,74,118,78,125,85
9,F,90,116,75,119,79,127,86
9,F,95,116,75,120,79,127,87
10,M,5,111,73,115,77,122,85
10,M,10,112,73,116,78,123,86
10,M,25,114,74,117,79,125,86
10,M,50,115,75,119,80,127,88
10,M,75,117,76,121,81,128,88
10,M,90,119,77,122,81,130,89
10,M,95,119,78,123,82,130,90
10,F,5,112,73,116,77,123,84
10,F,10,112,73,116,77,123,84
10,F,25,114,73,117,77,125,85
10,F,50,115,74,119,78,126,86
10,F,75,116,75,120,79,127,86
10,F,90,118,76,121,80,129,87
10,F,95,118,76,122,80,129,88
11,M,5,113,74,117,78,124,86
11,M,10,114,74,118,78,125,86
11,M,25,115,75,119,79,127,87
11,M,50,117,76,121,80,129,88
11,M,75,119,77,123,81,130,89
11,M,90,120,78,124,82,132,90
11,M,95,121,78,125,82,132,90
11,F,5,114,74,118,78,125,85
11,F,10,114,74,118,78,125,85
11,F,25,116,74,119,78,126,86
11,F,50,117,75,121,79,128,87
11,F,75,118,76,122,80,129,87
11,F,90,119,77,123,81,130,88
11,F,95,120,77,124,81,131,89
12,M,5,115,74,119,78,126,86
12,M,10,116,75,120,79,127,87
12,M,25,118,75,122,80,129,88
12,M,50,120,76,123,81,131,89
12,M,75,121,77,125,82,133,90
12,M,90,123,78,127,82,134,90
12,M,95,123,79,127,83,135,91
12,F,5,116,75,119,79,127,86
12,F,10,116,75,120,79,127,86
12,F,25,117,75,121,79,128,87
12,F,50,119,76,123,80,130,88
12,F,75,120,77,124,81,131,88
12,F,90,121,78,125,82,132,89
12,F,95,122,78,126,82,133,90
13,M,5,117,75,121,79,128,87
13,M,10,118,75,122,79,130,87
13,M,25,120,76,124,80,131,88
13,M,50,122,77,126,81,133,89
13,M,75,124,78,128,82,135,90
13,M,90,125,79,129,83,136,91
13,M,95,126,79,130,83,137,91
13,F,5,117,76,121,80,128,87
13,F,10,118,76,122,80,129,87
13,F,25,119,76,123,80,130,88
13,F,50,121,77,124,81,132,89
13,F,75,122,78,126,82,133,89
13,F,90,123,79,127,83,134,90
13,F,95,124,79,128,83,135,91
14,M,5,120,75,124,80,131,87
14,M,10,121,76,125,80,132,88
14,M,25,123,77,127,81,134,89
14,M,50,125,78,128,82,136,90
14,M,75,126,79,130,83,138,91
14,M,90,128,79,132,84,139,92
14,M,95,128,80,132,84,140,92
14,F,5,119,77,123,81,130,88
14,F,10,120,77,123,81,131,88
14,F,25,121,77,125,81,132,89
14,F,50,122,78,126,82,133,90
14,F,75,124,79,127,83,135,90
14,F,90,125,80,129,84,136,91
14,F,95,125,80,129,84,136,92
15,M,5,122,76,126,81,134,88
15,M,10,124,77,127,81,135,89
15,M,25,125,78,129,82,136,90
15,M,50,127,79,131,83,138,91
15,M,75,129,80,133,84,140,92
15,M,90,130,80,134,85,142,93
15,M,95,131,81,135,85,142,93
15,F,5,120,78,124,82,131,89
15,F,10,121,78,125,82,132,89
15,F,25,122,78,126,82,133,90
15,F,50,123,79,127,83,134,91
15,F,75,125,80,129,84,136,91
15,F,90,126,81,130,85,137,92
15,F,95,127,81,131,85,138,93
16,M,5,125,78,129,82,136,90
16,M,10,126,78,130,83,137,90
16,M,25,128,79,132,83,139,91
16,M,50,130,80,134,84,141,92
16,M,75,131,81,135,85,143,93
16,M,90,133,82,137,86,144,94
16,M,95,134,82,137,87,145,94
16,F,5,121,78,125,82,132,90
16,F,10,122,78,126,82,133,90
16,F,25,123,79,127,83,134,90
16,F,50,124,80,128,84,135,91
16,F,75,126,81,130,85,137,92
16,F,90,127,81,131,85,138,93
16,F,95,128,82,132,86,139,93
17,M,5,127,80,131,84,139,92
17,M,10,128,80,132,85,140,93
17,M,25,130,81,134,86,141,93
17,M,50,132,82,136,87,143,94
17,M,75,134,83,138,87,145,95
17,M,90,135,84,139,88,146,96
17,M,95,136,84,140,89,147,97
17,F,5,122,78,125,82,133,90
17,F,10,122,79,126,83,133,90
17,F,25,123,79,127,83,134,91
17,F,50,125,80,129,84,136,91
17,F,75,126,81,130,85,137,92
17,F,90,127,81,131,85,138,93
17,F,95,128,82,132,86,139,93
